time,length,width,failures,name
1/8/2024,6.267736613,85.3467976,failure2,Angela
12/4/2023,22.1635246,62.80620747,failure2,Steven
3/15/2024,44.93143016,67.87175329,failure0,Kara
3/30/2024,20.41370975,35.88852685,failure0,Kathleen
12/19/2023,34.98401951,28.81577621,failure0,David
4/18/2024,7.048361918,36.38011751,failure0,Daniel
2/22/2024,2.712817948,70.55394003,failure0,Jasmine
3/6/2024,6.365064884,65.49642721,failure0,Lori
12/1/2023,44.73757051,24.35809109,failure5,Daniel
12/6/2023,3.308440916,56.12265255,failure0,Christopher
3/27/2024,40.29943982,16.99220275,failure0,Jeffrey
3/5/2024,28.81826023,7.603988991,failure0,Katherine
4/2/2024,45.82720821,1.219250005,failure0,Misty
12/15/2023,88.91518533,76.20229884,failure1,Jim
1/21/2024,5.791628373,53.04289495,failure0,Annette
12/30/2023,40.12152156,15.16577326,failure0,Donald
3/8/2024,47.82570427,87.76075989,failure0,John
2/28/2024,12.90893737,72.28092869,failure0,Emily
2/24/2024,2.48187054,88.62261595,failure0,Jennifer
3/10/2024,6.795261852,85.17328535,failure0,Kyle
1/24/2024,49.73892041,28.08200974,failure0,Debbie
3/18/2024,97.21471226,89.92666882,failure0,Raymond
1/31/2024,19.09806609,24.97844374,failure2,
12/17/2023,4.22898425,67.43644191,failure0,Steven
12/19/2023,1.212583472,2.498618209,failure0,Ashley
1/23/2024,18.17956815,,failure0,Christopher
2/14/2024,24.36355513,65.94344094,failure0,Pamela
1/1/2024,11.52611806,11.07524419,failure0,Robert
2/25/2024,13.72453544,32.33133431,failure0,David
3/4/2024,17.30434484,49.12457311,failure0,
4/17/2024,22.22878257,57.74188673,failure0,Gary
4/13/2024,63.59069395,0.791435652,failure5,Vanessa
2/22/2024,,17.5710861,failure0,
1/22/2024,46.72190954,52.62335303,failure0,Miguel
1/28/2024,23.67073469,41.47801787,failure0,Fernando
3/22/2024,,140.6519341,failure0,Carmen
1/8/2024,9.195646629,178.7040714,failure0,Heather
3/2/2024,45.58985975,166.9111829,failure0,Corey
3/11/2024,,84.48719387,failure0,John
2/3/2024,23.97655058,84.97182667,failure4,Brittany
12/9/2023,8.241587099,93.13306701,failure3,
4/2/2024,42.36789285,96.63906869,failure0,Jessica
12/30/2023,13.76235174,10.08723626,failure0,Nicholas
3/1/2024,28.01940186,95.66963327,failure0,Mary
12/11/2023,9.931984181,23.19905985,failure0,James
1/27/2024,13.96948775,31.86630708,failure0,Sandra
4/5/2024,2.291817177,16.28550062,failure0,Samantha
12/25/2023,36.39994229,64.40065602,failure0,Michael
3/30/2024,6.992270509,41.07864479,failure2,Shawn
4/11/2024,96.92327768,82.82017349,failure0,Lisa
4/19/2024,0.531782807,20.46644864,failure1,Kevin
2/2/2024,69.56793953,94.77165814,failure0,Jennifer
2/8/2024,9.084240265,37.03844849,failure5,Bradley
4/11/2024,37.37840953,194.6843975,failure4,Olivia
1/6/2024,3.111125745,194.8208397,failure0,David
12/13/2023,32.15982028,24.17588548,failure0,William
1/28/2024,25.89360807,60.66329477,failure0,Vanessa
3/17/2024,15.53182028,155.3966512,failure0,Scott
1/9/2024,44.88905146,1.455490514,failure5,Joseph
